column,country,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00
Alimentos y bebidas no alcohólicas,Argentina,100.0,101.3024,103.1605,106.0143,108.3515,109.7631,110.7483,112.0115,114.3467,116.4048,118.1646,119.5688,120.36,122.8752,125.5566,128.469,129.9559,134.2019,141.151,146.7848,152.6743,163.3911,173.0007,178.8975,181.9359,188.0357,198.7818,210.628,215.9985,221.2588,226.9033,232.0295,242.5051,256.3757,262.6603,276.6339,285.297,298.6501,306.6182,318.6777,328.7785,331.0146,334.4636,338.7648,350.5076,360.8692,378.0896,388.3864,405.2871,424.8374,441.0722,461.3238,481.2407,496.1796,512.2593,529.7087,537.5867,553.4373,572.3293,584.4717,609.3311,639.405,687.1658
Alimentos y bebidas no alcohólicas - constant_prices,Argentina,626.2656271251417,624.517881569017,623.0921969818769,625.4791636714625,622.7298807566883,621.9197906877826,620.1097881542789,616.5033088022683,620.6468066931682,620.0488813430478,620.0309278290207,618.8887838785427,604.0063181777398,605.7253676703472,604.437101902026,604.5528567695915,595.472201133828,602.2799601224624,610.8645903704746,616.1456861962777,616.8118614130765,619.8199748006948,622.6506143806963,623.9088339294569,618.4262363686822,621.1470670940205,632.6061258839945,640.2155177746091,634.9511132942763,630.8577478161361,629.9430039208372,630.3079041682906,633.4277510266907,632.349397167271,627.1542420250413,633.2876507293844,629.8165495265707,644.4717634662404,648.6926656824752,652.6681359683706,663.4040276305359,658.0453149185455,650.5888502031988,646.6687135709215,651.4942208697909,652.4839461229104,658.5934267609803,653.6515938173368,655.8609169903549,661.0561869308632,662.4690029108243,661.1506885840008,662.5310157875797,660.6359912761321,661.5375675085098,664.147498930955,657.585284347371,658.535029666512,657.9851400986923,655.5558962777759,658.418813416,664.9812000000011,687.1658
Alimentos y bebidas no alcohólicas - current_prices_mom,Argentina,,1.3024000000000149,1.8342112329026603,2.766368910581085,2.2046082462460204,1.30279691559414,0.8975694017388403,1.140604415598245,2.08478593715824,1.799877040614195,1.511793328110178,1.1883423631104506,0.6617110818206706,2.089730807577284,2.1822141489902025,2.319591323753589,1.1573998396500418,3.267262202023913,5.17809360374184,3.991328435505226,4.012336427204999,7.019387021915291,5.881348494501837,3.4085411215099226,1.6984027166394131,3.352719281900929,5.714925410440674,5.959398697466267,2.549755967867529,2.435340986164247,2.551084973795392,2.2592002848790704,4.514770751132935,5.719714760638017,2.451324364984675,5.320027427060725,3.1316118523434966,4.68042075451196,2.6680386177670767,3.9330672478020015,3.169597370634958,0.6801235482247092,1.0419479986683466,1.2859994331221758,3.466357779792961,2.95616985195184,4.771922901705117,2.7233756231327177,4.351516942920775,4.823815019032196,3.821414969586012,4.591447840058827,4.317336326458765,3.1042470015524515,3.240701552421754,3.40636080203911,1.4872325110008466,2.948473241618532,3.413575485425357,2.1215758130852302,4.253311152618666,4.935559665344513,7.46956936526928
Alimentos y bebidas no alcohólicas - current_prices_yoy,Argentina,,,,,,,,,,,,,20.36,21.295448084152003,21.70995681486616,21.18082183252636,19.939179429910997,22.26504171256096,27.45206924169492,31.044401690897796,33.518763549800724,40.36457259494455,46.40653799868997,49.6188805106349,51.1597706879362,53.02982212846854,58.32047060847459,63.952393184347976,66.20907554024093,64.87009498375211,60.75217320458231,58.074609905112816,58.83819346150598,56.90921965761906,51.82614868032327,54.63262482706577,56.811822185725866,58.82627607417104,54.24862839555733,51.29883016503032,52.213325555501534,49.6051682464155,47.40358558028903,46.00074559484892,44.53617676494228,40.75795794999291,43.94623016877694,40.39725427722343,42.05796065153156,42.25255575002318,43.85062595762417,44.76187069255238,46.37231449136729,49.89659066397676,53.15846029283906,56.364740374442704,53.37376422080431,53.36229858353112,51.37398648362714,50.48716947864293,50.345545170324925,50.505817049063936,55.79440282112542
Bebidas alcohólicas y tabaco,Argentina,100.0,100.925,105.2395,107.2901,109.8338,111.7182,112.4572,115.794,117.3256,118.1383,121.695,123.0467,123.7178,126.558,128.7394,129.6226,131.2858,133.4078,134.6168,138.1218,139.9915,146.1856,149.5775,156.5108,158.6722,164.1486,168.0165,174.827,176.6323,180.4588,185.3625,186.9476,195.1481,206.218,218.9538,231.1972,238.3667,248.7265,251.9682,259.1936,262.827,263.0259,272.9822,276.7322,280.3346,292.3052,297.8662,306.7433,317.1521,331.4265,343.3155,365.3793,378.4685,384.5689,405.6917,418.2942,426.7422,451.7961,461.7273,466.8177,491.9092,500.7578,514.0762
Bebidas alcohólicas y tabaco - constant_prices,Argentina,626.2656271251417,622.191253093244,635.6494129465661,633.0063210173305,631.2491213970637,632.9974240889318,629.6783830399507,637.3219190837534,636.8155703956473,629.2826477840208,638.5555721608052,636.8904139145653,620.8568699821367,623.8800920089961,619.7592945062679,609.9814985086056,601.5659489381821,598.7161468207637,582.5862826971407,579.7817705897684,565.5727106461841,554.5513489304158,538.3476614402636,545.8347418234824,539.3495811565438,542.239699469779,534.698182376798,531.3963875932051,519.2298813590306,514.5279290206877,514.6148604461733,507.8429680074815,509.7304019591,508.63567797197743,522.7961914210198,529.271111180559,526.2140594399352,536.7391675937354,533.0731291398065,530.8416741018636,530.3281399788941,522.8861844680986,530.9970221690481,528.254575970263,521.0625156482897,528.514072046732,518.8524661198602,516.2468277411091,513.2353512643673,515.7068053279719,515.6431916788932,523.6468957147674,521.0430450886669,512.03245047856,523.9149399071762,524.4562657689494,521.9983882228163,537.5921682848524,530.8302443678682,523.5926662006559,531.537405152,520.7881120000008,514.0762
Bebidas alcohólicas y tabaco - current_prices_mom,Argentina,,0.924999999999998,4.2749566509784565,1.9485079271566172,2.37086180365198,1.7156831503599037,0.6614857740278701,2.96717328903795,1.3226937492443414,0.6926876998711418,3.010623989002714,1.1107276387690712,0.5454026804457168,2.295708459089973,1.723636593498612,0.6860370640223712,1.2831095811995707,1.6163210339579903,0.9062438628026248,2.603686909806191,1.3536603200942965,4.424625780850966,2.3202695751154634,4.635255970984953,1.3809909603682335,3.451392241362994,2.3563405353442146,4.053470938866122,1.0326208194386457,2.1663648154952364,2.717351550603242,0.8551352080383046,4.386523282459898,5.672563555576504,6.17589153226199,5.591773241661024,3.1010323654438787,4.346160768261664,1.3033191075337849,2.8675840840233,1.4018093039334325,0.0756771564565106,3.785292627075898,1.3737159419185518,1.301763943624934,4.270111502468832,1.902463589426384,2.9802307210418544,3.393325950395676,4.500805764804938,3.587220695991422,6.426683327726246,3.58235948232426,1.6118646598065611,5.492591834649141,3.1064229315019176,2.0196311591219818,5.870968467613458,2.198159745070849,1.102468924839406,5.375010416271708,1.7988279137694407,2.659649035921152
Bebidas alcohólicas y tabaco - current_prices_yoy,Argentina,,,,,,,,,,,,,23.71779999999999,25.398067872182327,22.32992365034039,20.81506122186485,19.531328243218397,19.414562712252813,19.704918849126617,19.282346235556247,19.318801693748,23.74107296279022,22.911787665886017,27.19625963150576,28.2533313718802,29.702270895557746,30.50899724559848,34.87385687372417,34.54029300960195,35.26855251342125,37.69640936346725,35.349814439139934,39.39996356921669,41.06587789768624,46.381507913957655,47.71964618416112,50.22587447580609,51.52520338278852,49.96634259135262,48.25719139492184,48.79894560621134,45.753989276222605,47.26937757097578,48.026612804871526,43.65223130535221,41.745725397395006,36.0406624593864,32.67604451957029,33.05218388306756,33.249372302508974,36.2535034182885,40.96771679547644,43.99909446137573,46.20951776992304,48.61470821174423,51.15487102693508,52.22601847934576,54.563141538364704,55.01164616864889,52.18513330201509,55.10198418992023,51.09165984011539,49.73870972909757
Bienes,Argentina,100.0,101.1903,102.7002,104.9817,107.4919,109.0098,110.1215,111.4205,112.8612,114.9903,116.8116,118.602,120.0841,122.0571,124.237,126.9088,129.6896,133.2216,138.9729,144.1465,148.6981,161.5813,171.0262,177.3628,180.7733,185.5353,192.3845,202.0032,209.6065,216.1589,222.0468,226.5037,237.6064,254.5303,263.3998,277.0656,286.3123,293.7136,300.0495,309.7355,316.9003,323.3135,332.6884,340.4366,351.5877,364.3829,381.1304,393.9743,409.2986,426.448,443.5383,466.0937,487.9835,505.134,522.2312,537.4829,550.9627,570.0767,590.5328,605.5459,628.9364,653.0302,688.9779
Bienes - constant_prices,Argentina,626.2656271251417,623.826797700087,620.3119725910417,619.3868743821199,617.7894913250843,617.6515787083003,616.600164844349,613.250486944672,612.5838645064439,612.5143196870016,612.9314932661089,613.8846216200457,602.6217606570914,601.6924633634479,598.0844673159515,597.2108258739519,594.2519852978256,597.8805064268884,601.4383435547529,605.0711255885606,600.7478131524939,612.9545446126717,615.5441481172957,618.5565350575804,614.4743921070371,612.8873795636107,612.2472642119618,613.9999586006036,616.1611331963728,616.3168055888099,616.4600876364925,615.2970740072416,620.6322571424199,627.797727186331,628.9199468612024,634.2759254087347,632.0579076296503,633.8190469248727,634.795683986449,634.3540556123985,639.4363846094715,642.7358005505412,647.1357828832253,649.8600154870234,653.5018204424148,658.8370315108905,663.8901894650979,663.055990421059,662.3525770222356,663.5623153806438,666.1729652282826,667.9867171380812,671.8139258433013,672.5582849784186,674.4153941666848,673.8947722647496,673.9470372765832,678.3342513175154,678.9130088934343,679.1931674567518,679.603516384,679.1514080000011,688.9779
